Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	1.91	2.19	1.83	1.69	2.38	2.71	1.62	1.51	1.18	2.47	1.64	0	2.56	1.71	1.56
10	2.73	1.52	1.41	1.93	2.71	2.7	2.38	1.69	1.2	2.23	1.99	1.51	1.46	2.29	2.36
14	1.79	2.26	1.86	2.13	1.82	1.94	1.77	2.11	2.18	1.88	1.58	2.08	1.82	1.97	2.29
28	2.15	2.01	1.84	1.66	2.01	1.58	1.49	1.65	1.4	1.36	1.54	0.74	1.77	1.69	2.1
56	1.96	1.47	1.53	2.01	1.13	1.42	1.69	1.81	1.67	1.95	1.37	1.85	1.31	0	1.73
84	2.7	2.69	25.37	2.87	3.19	0	2.03	3.32	2.81	2.43	2.27	2.36	18.05	2.21	3.04
168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
