Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	5.38	5	3.71	3.94	5.15	3.47	2.59	5.35	4.54	3.61	3.33	4	3.78	6.26	4.16
14	5.06	6.44	4.93	5.24	5.62	5.01	4.17	5.04	4.12	5.04	4.49	4.76	4.87	3.61	4.83
28	6.58	4.57	5.81	4.94	5.85	4.75	4.7	5.74	4.86	7.18	5.14	5.68	7.14	4.08	4.82
56	6.75	4.83	4.09	8.28	4.1	5.98	5.35	4.95	4.71	5.94	5.32	5.4	6.46	5.31	6.21
84	5.03	5.98	5.25	4.72	5.48	4.99	5.43	5.56	5.56	5.27	6.88	4.97	15.54	5.28	4.64
168	5.79	6.08	76.72	5.58	7.02	7.48	6.47	5.93	6.13	6.1	4.69	4.03	97.82	4.58	7.16
