Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	2.34	2.1	1.99	0.98	2.02	0	2.34	2.75	3.14	6.85	1.68	3.72	3.46	3.13	5.6
10	3.54	2.95	2.28	2.99	5.4	2.18	3.97	3.34	5.34	4.03	3.45	6.5	5.64	3.1	1.77
14	2.34	3.83	2.97	3.81	2.94	2.76	1.57	2.03	1.42	6.77	2.07	2.88	2.19	2.22	2.2
28	3.49	3.25	2.7	22.74	3.61	3.79	3.31	3.04	2.29	0	9.35	2.65	3.03	3.35	9.09
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	NA	1.9	99.89	2.16	2.17	NA	2.52	4.68	0	NA	0	NA	99.31	1.89	1.71
